evidence_id,record_id,ingredient_id,population,exposure,comparator,outcome,effect_value,effect_unit,source_id,locator,verbatim_quote,review_status,reviewer_id,reviewed_at
AI-FT-EV-K3-40073039-02,EV-K3-40073039,K3,woman,4 weeks,,nausea;constipation;diarrhea;abdominal;adverse event,,,PMC11902287,"PMC11902287, Results > Adverse events, p36","In contrast, the number of patients with symptoms of constipation and nausea was higher in the ferrous sulfate group (33.3% in the FCM group vs. Additionally, there were no significant differences between the two groups in other adverse events such as diarrhea (10.0% in both groups; P = 1.000), erythema (3.3% in the FCM group vs.",verified,권혁찬,2026-07-13T11:55:09.591Z
AI-FT-EV-K3-40073039-03,EV-K3-40073039,K3,,4 weeks,,nausea;constipation;diarrhea;abdominal;adverse event,,,PMC11902287,"PMC11902287, Materials and methods > Protocol, p13","The questionnaire gathered information on any adverse events experienced, including constipation, diarrhea, nausea, erythema, headache, dysgeusia, or abdominal pain.",verified,권혁찬,2026-07-13T11:55:09.591Z
AI-FT-EV-K3-40073039-04,EV-K3-40073039,K3,,,,nausea;constipation;diarrhea;abdominal;adverse event,,,PMC11902287,"PMC11902287, Materials and methods > Outcomes, p21","The incidence of adverse events was evaluated through laboratory tests and structured questionnaires. These questionnaires included standardized items addressing symptoms such as constipation, diarrhea, nausea, skin lesions (e.g., rash or hives), itching, headache, taste disturbances, and upper abdominal pain.",verified,권혁찬,2026-07-13T11:55:09.591Z
AI-FT-EV-K3-40073039-05,EV-K3-40073039,K3,women,120 mg/day,,gastrointestinal;side effect;safety;risk,,,PMC11902287,"PMC11902287, Discussion, p40","Achieving normal Hb levels signifies effective management of anemia, while attaining target ferritin levels, which represent stored iron, ensures sufficient iron reserves to support ongoing red blood cell production and reduce the risk of relapse. While some studies in chronic kidney disease patients have shown that a single dose of intravenous iron does not trigger oxidative stress or inflammation biomarkers, the long-term safety, particularly in postpartum women, remains unclear and requires f",verified,권혁찬,2026-07-13T11:55:09.591Z
AI-FT-EV-K3-40224710-01,EV-K3-40224710,K3,women;children,80 mg; 45 years,,gastrointestinal;adverse effect,,,PMC11992272,"PMC11992272, Introduction, html-p5","However, gastrointestinal adverse effects and inadequate enteral iron absorption may limit the utility of oral iron replacement. Adverse effects (AEs) resulting from oral iron treatment may reduce treatment compliance, thereby reducing its effectiveness.",verified,권혁찬,2026-07-13T11:55:09.794Z
AI-FT-EV-K3-40224710-02,EV-K3-40224710,K3,women,120 mg;200 mg;60 mg; 18 years,,adverse effect;tolerability,,,PMC11992272,"PMC11992272, Abstract, html-p3","The optimal way of oral iron replacement for iron deficiency anaemia(IDA) is still unknown and few recent studies have reported better fractional absorption and tolerability of intermittently administered iron. This randomised, active comparator controlled, open-label trial evaluated efficacy and tolerability of 120 mg elemental iron (2 × 200 mg ferrous sulphate tablets) administered as a single dose on alternate days (alternate-day arm, ADA) vis-à-vis 60 mg elemental iron (single FeSO4 tablet)",verified,권혁찬,2026-07-13T11:55:09.794Z
AI-FT-EV-K3-40224710-03,EV-K3-40224710,K3,women,200 mg;400 mg; 18 years;21 days,,gastrointestinal,,,PMC11992272,"PMC11992272, Discussion, html-p27","In this open label randomised controlled trial (RCT), we compared head-to-head the Hb improvement with 200 mg ferrous sulphate tablet taken daily versus 400 mg of ferrous sulphate tablets taken on alternate days (administered as single dose) in women (age ≥ 18 years) having IDA and with haemoglobin concentration between 6 and 10 g/dL. The latter study included participants of both sexes with Hb < 10 g/dL and serum ferritin < 50 µg/L irrespective of bleeding source, as against the present study w",verified,권혁찬,2026-07-13T11:55:09.794Z
AI-FT-EV-K3-40224710-04,EV-K3-40224710,K3,Women;women;Pregnant,18 years;1 month,,gastrointestinal,,,PMC11992272,"PMC11992272, Trial Participants and Eligibility Criteria, html-p8","Pregnant and lactating women, those already diagnosed to have IDA and on oral iron therapy, those with known thalassaemia, malabsorption syndrome, peptic ulcer disease, coronary artery disease, cardiac failure, chronic kidney disease (serum creatinine ≥ 2 mg/dL), alcohol abuse (alcohol intake > once/ week), overt gastrointestinal bleed (hematemesis/ melena/ haematochezia) or receiving long-term (> 1 month) acid suppressive therapy and anaemia of chronic disease (anaemia seen in conditions such a",verified,권혁찬,2026-07-13T11:55:09.794Z
AI-FT-EV-K3-40224710-05,EV-K3-40224710,K3,,200 mg;60 mg;400 mg;120 mg,,harm,,,PMC11992272,"PMC11992272, Randomisation and Study Intervention, html-p9","Study participants were randomised with 1:1 allocation to receive either open label daily single dose 200 mg ferrous sulphate tablet (containing ≈ 60 mg of elemental iron) at 8 am (± 1 h) in empty stomach (daily replacement arm, DA) or 400 mg ferrous sulphate (2 × 200 mg ferrous sulphate tablets, containing together ≈ 120 mg of elemental iron administered as a single dose) at 8 am (± 1 h) in empty stomach on alternate days (alternate-day replacement arm, ADA). Generic ferrous sulphate (200 mg) t",verified,권혁찬,2026-07-13T11:55:09.794Z
AI-FT-EV-K3-40382392-01,EV-K3-40382392,K3,,,,gastrointestinal;constipation;diarrhea;iron overload;toxicity;side effect;risk,,,PMC12085664,"PMC12085664, Discussion, Par19","BBI-001 was designed to provide a safe treatment for non-transfusion-dependent iron overload resulting from disorders such as HH. BBI-001 is an insoluble, crosslinked polymer particle large enough to remain in the gastrointestinal tract.",verified,권혁찬,2026-07-13T11:55:10.086Z
