quantitative_id,evidence_id,record_id,ingredient_id,statistic_type,measure_label,estimate,ci_lower,ci_upper,range_lower,range_upper,numerator,denominator,unit,exact_text,source_id,locator,extraction_method,validation_status,synthesis_eligible
QT-AI-FT-EV-K3-40542094-01-02,AI-FT-EV-K3-40542094-01,EV-K3-40542094,K3,reported_percentage,percentage,3.1,,,,,,,%,3.1%,PMC12811114,"PMC12811114, Discussion > Efficacy of liposomal iron intervention, Par47",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-40542094-05-01,AI-FT-EV-K3-40542094-05,EV-K3-40542094,K3,reported_percentage,percentage,33.7,,,,,,,%,33.7%,PMC12811114,"PMC12811114, Discussion > Prevalence of iron deficiency anemia and non-anemic iron deficiency, Par42",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-40542094-05-02,AI-FT-EV-K3-40542094-05,EV-K3-40542094,K3,reported_percentage,percentage,30,,,,,,,%,30%,PMC12811114,"PMC12811114, Discussion > Prevalence of iron deficiency anemia and non-anemic iron deficiency, Par42",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-40542094-05-03,AI-FT-EV-K3-40542094-05,EV-K3-40542094,K3,reported_percentage,percentage,27,,,,,,,%,27%,PMC12811114,"PMC12811114, Discussion > Prevalence of iron deficiency anemia and non-anemic iron deficiency, Par42",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-40542094-05-04,AI-FT-EV-K3-40542094-05,EV-K3-40542094,K3,reported_percentage,percentage,43,,,,,,,%,43%,PMC12811114,"PMC12811114, Discussion > Prevalence of iron deficiency anemia and non-anemic iron deficiency, Par42",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-40841680-02-01,AI-FT-EV-K3-40841680-02,EV-K3-40841680,K3,reported_percentage,percentage,95,,,,,,,%,95%,PMC12372323,"PMC12372323, Results > Adverse effects of the iron supplementation, Par38",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-41562674-02-01,AI-FT-EV-K3-41562674-02,EV-K3-41562674,K3,reported_percentage,percentage,3.8,,,,,,,%,3.8%,PMC12821660,"PMC12821660, 4. Discussion, p19",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-41562674-02-02,AI-FT-EV-K3-41562674-02,EV-K3-41562674,K3,reported_percentage,percentage,0.8,,,,,,,%,0.8%,PMC12821660,"PMC12821660, 4. Discussion, p19",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-41562674-03-01,AI-FT-EV-K3-41562674-03,EV-K3-41562674,K3,reported_percentage,percentage,3.8,,,,,,,%,3.8%,PMC12821660,"PMC12821660, 3. Results, p13",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-42078226-01-01,AI-FT-EV-K3-42078226-01,EV-K3-42078226,K3,reported_percentage,percentage,11,,,,,,,%,11%,PMC13134476,"PMC13134476, Review, p30",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K3-42078226-01-02,AI-FT-EV-K3-42078226-01,EV-K3-42078226,K3,reported_percentage,percentage,15,,,,,,,%,15%,PMC13134476,"PMC13134476, Review, p30",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-29360138-03-01,AI-FT-EV-K4-29360138-03,EV-K4-29360138,K4,relative_effect_measure,RR,0.37,0.21,0.65,,,,,ratio,"RR 0.37, 95% CI 0.21 to 0.65",PMC6491191,"PMC6491191, Main results, html-p9",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-29360138-03-02,AI-FT-EV-K4-29360138-03,EV-K4-29360138,K4,relative_effect_measure,RR,0.57,,,,,,,ratio,RR 0.57,PMC6491191,"PMC6491191, Main results, html-p9",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-29360138-03-03,AI-FT-EV-K4-29360138-03,EV-K4-29360138,K4,reported_percentage,percentage,95,,,,,,,%, 95%,PMC6491191,"PMC6491191, Main results, html-p9",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-29360138-03-04,AI-FT-EV-K4-29360138-03,EV-K4-29360138,K4,reported_percentage,percentage,77,,,,,,,%, 77%,PMC6491191,"PMC6491191, Main results, html-p9",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-29360138-03-05,AI-FT-EV-K4-29360138-03,EV-K4-29360138,K4,reported_percentage,percentage,0,,,,,,,%, 0%,PMC6491191,"PMC6491191, Main results, html-p9",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-29360138-03-06,AI-FT-EV-K4-29360138-03,EV-K4-29360138,K4,reported_percentage,percentage,95,,,,,,,%, 95%,PMC6491191,"PMC6491191, Main results, html-p9",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-31105568-01-01,AI-FT-EV-K4-31105568-01,EV-K4-31105568,K4,reported_percentage,percentage,5.3,,,,,,,%,5.3%,PMC6499034,"PMC6499034, Discussion > Adverse Events of Magnesium Sulfate Use and Classification of Intensity, p37",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-31105568-01-02,AI-FT-EV-K4-31105568-01,EV-K4-31105568,K4,reported_percentage,percentage,2.95,,,,,,,%,2.95%,PMC6499034,"PMC6499034, Discussion > Adverse Events of Magnesium Sulfate Use and Classification of Intensity, p37",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-31105568-04-01,AI-FT-EV-K4-31105568-04,EV-K4-31105568,K4,reported_percentage,percentage,73.78,,,,,,,%, 73.78%,PMC6499034,"PMC6499034, Results, p17",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-32956536-01-01,AI-FT-EV-K4-32956536-01,EV-K4-32956536,K4,reported_percentage,percentage,29.2,,,,,,,%,29.2%,PMC8094171,"PMC8094171, Magnesium versus placebo, html-p137",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-32956536-01-02,AI-FT-EV-K4-32956536-01,EV-K4-32956536,K4,reported_percentage,percentage,28.3,,,,,,,%,28.3%,PMC8094171,"PMC8094171, Magnesium versus placebo, html-p137",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-32956536-03-01,AI-FT-EV-K4-32956536-03,EV-K4-32956536,K4,relative_effect_measure,OR,500,,,,,,,ratio,or 500,PMC8094171,"PMC8094171, Magnesium versus other treatments, html-p148",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
