candidate_id,item_sequence,document_type,document_label,page,source_locator,pdf_path,text_path,pdf_sha256,page_text_sha256,character_count
EXP-OTC-02,197500016,NB,사용상의주의사항,7,사용상의주의사항 PDF p.7,research_v3/otc/raw/nedrug/197500016/NB.pdf,research_v3/otc/extracted/nedrug/197500016/NB.txt,26f401879a1c0d4ba8d9a648564a7cfae48e373086d75ff4daa170f9ed0fe1a6,e6ffc5088ab1658bbc1e0cd5ae63ea425b7cee8718c0ff77f437b3057a7cbad2,1540
EXP-OTC-02,197500016,NB,사용상의주의사항,8,사용상의주의사항 PDF p.8,research_v3/otc/raw/nedrug/197500016/NB.pdf,research_v3/otc/extracted/nedrug/197500016/NB.txt,26f401879a1c0d4ba8d9a648564a7cfae48e373086d75ff4daa170f9ed0fe1a6,748466e8fd005ac52cb9fff70c480536bf6bd2b5a0fa83f1f334bc8e635c8776,1337
EXP-OTC-02,197500016,NB,사용상의주의사항,9,사용상의주의사항 PDF p.9,research_v3/otc/raw/nedrug/197500016/NB.pdf,research_v3/otc/extracted/nedrug/197500016/NB.txt,26f401879a1c0d4ba8d9a648564a7cfae48e373086d75ff4daa170f9ed0fe1a6,9c1f686b6fd803dc86efaad393ca13ed765a4c0f4dac13b93aca28945ed6c1a7,540
EXP-OTC-03,200610765,EE,효능효과,1,효능효과 PDF p.1,research_v3/otc/raw/nedrug/200610765/EE.pdf,research_v3/otc/extracted/nedrug/200610765/EE.txt,856d37d61733a97812b070aecaaf0bb0310982f720126df4431efff01919586d,d1e6cfa69e8bdfc7f883e04159d8ce52ec2ca4b8d9ae489046f3bd327e83067c,100
EXP-OTC-03,200610765,UD,용법용량,1,용법용량 PDF p.1,research_v3/otc/raw/nedrug/200610765/UD.pdf,research_v3/otc/extracted/nedrug/200610765/UD.txt,3a75d5a7f583d737489e3c4c2d8b41e21f5e434f9b3c9eebcdf39500fc00bb74,db3d532766a9874677f9befd4d4e6c14194afd132d19f74a6d7424c2b417a944,946
EXP-OTC-03,200610765,NB,사용상의주의사항,1,사용상의주의사항 PDF p.1,research_v3/otc/raw/nedrug/200610765/NB.pdf,research_v3/otc/extracted/nedrug/200610765/NB.txt,34406f284ca4e7d5a0b3ff1c667fc32531b25d2311b61733a701a7c01f01ef57,94ec7cf2e6e7f7a505b7105a086b34ffca1ad377beb1ba60386e01fe3b37a06f,1149
EXP-OTC-03,200610765,NB,사용상의주의사항,2,사용상의주의사항 PDF p.2,research_v3/otc/raw/nedrug/200610765/NB.pdf,research_v3/otc/extracted/nedrug/200610765/NB.txt,34406f284ca4e7d5a0b3ff1c667fc32531b25d2311b61733a701a7c01f01ef57,592102b6fcf244d3fa44c05ce304c4a1a33e34c8807ebdb9170147c75d05d4eb,1222
EXP-OTC-03,200610765,NB,사용상의주의사항,3,사용상의주의사항 PDF p.3,research_v3/otc/raw/nedrug/200610765/NB.pdf,research_v3/otc/extracted/nedrug/200610765/NB.txt,34406f284ca4e7d5a0b3ff1c667fc32531b25d2311b61733a701a7c01f01ef57,d6863d4a6c230d6f4e81f9471bdd3900f2cbd360bd667c705af0668d84817c74,1317
EXP-OTC-03,200610765,NB,사용상의주의사항,4,사용상의주의사항 PDF p.4,research_v3/otc/raw/nedrug/200610765/NB.pdf,research_v3/otc/extracted/nedrug/200610765/NB.txt,34406f284ca4e7d5a0b3ff1c667fc32531b25d2311b61733a701a7c01f01ef57,b19f79c43aad54c27456c902efd9cb90653e052164712e43bac40671697b2741,311
SAFE-OTC-01,202106092,EE,효능효과,1,효능효과 PDF p.1,research_v3/otc/raw/nedrug/202106092/EE.pdf,research_v3/otc/extracted/nedrug/202106092/EE.txt,3bf9aa2b0786a4241b63e148a37af8c44ba45c6000c2cf54d164272ad79349d9,a60e908c5030b1f4a5123c8da9b4ee1eb8eda8f93a2cb96c4c073f5468c9a0ab,123
